Search field,Alias 1,Alias 2,Reference in the eForms SDK
organisation-gateway-revieworg-lot,,,BT-509-Organization-Company
security-clearance-lot,BT-578-Lot,,BT-578-Lot
touchpoint-country-mediator-part,,,BT-514-Organization-TouchPoint
publication-date,PD,OPP-012-notice,OPP-012-notice
organisation-name-reviewinfo-lot,,,BT-500-Organization-Company
touchpoint-fax-reviewinfo-part,,,BT-739-Organization-TouchPoint
organisation-country-sub-tender-receip-lot,,,BT-507-Organization-Company
touchpoint-email-tenderer,,,BT-506-Organization-TouchPoint
touchpoint-street-signatory,,,"BT-510(a)-Organization-TouchPoint, BT-510(b)-Organization-TouchPoint, BT-510(c)-Organization-TouchPoint"
organisation-country-sub-revieworg-lot,,,BT-507-Organization-Company
touchpoint-fax-subcontractor,,,BT-739-Organization-TouchPoint
touchpoint-fax-addinfo-part,,,BT-739-Organization-TouchPoint
award-criterion-number-lot,BT-541-Lot,,"BT-541-Lot
BT-541-Lot-FixedNumber
BT-541-Lot-ThresholdNumber
BT-541-Lot-WeightNumber
BT-541-LotsGroup-FixedNumber
BT-541-LotsGroup-ThresholdNumber
BT-541-LotsGroup-WeightNumber"
award-criterion-number-fixed-lot,BT-5422-Lot,,BT-5422-Lot
result-framework-maximum-value-notice,BT-271-Procedure,,BT-271-Procedure
contract-duration-period-part,BT-36-Part,,BT-36-Part
organisation-person-tenderer,,,BT-633-Organization
duration-additional-information-lot,BT-781-Lot,,BT-781-Lot
concession-revenue-buyer,BT-160-Tender,,BT-160-Tender
touchpoint-country-addinfo-lot,,,BT-514-Organization-TouchPoint
entity-main-activity,BT-610-Procedure-Buyer,,BT-610-Procedure-Buyer
organisation-country-fiscal-legis-lot,,,BT-514-Organization-Company
touchpoint-post-code-tender-receip-lot,,,BT-512-Organization-TouchPoint
deadline-time-part,BT-13(t)-Part,,BT-13(t)-Part
organisation-street-tender-eval-lot,,,"BT-510(a)-Organization-Company, BT-510(b)-Organization-Company, BT-510(c)-Organization-Company"
touchpoint-gateway-addinfo-part,,,BT-509-Organization-TouchPoint
funding,,,
touchpoint-country-sub-environ-legis-part,,,BT-507-Organization-TouchPoint
touchpoint-city-docprovider-part,,,BT-513-Organization-TouchPoint
review-request-withdrawn-reasons,BT-798-Review,,BT-798-Review
place-of-performance,RC,,"BT-5071-Procedure
BT-5141-Procedure
BT-727-Procedure
BT-5071-Part
BT-5141-Part
BT-727-Part
BT-5071-Lot
BT-5141-Lot
BT-727-Lot
"
winner-size,BT-165-Organization-Company,,BT-165-Organization-Company
touchpoint-gateway-revieworg-lot,,,BT-509-Organization-TouchPoint
touchpoint-country-tender-receip-lot,,,BT-514-Organization-TouchPoint
touchpoint-post-code-employ-legis-lot,,,BT-512-Organization-TouchPoint
touchpoint-internet-address-revieworg-part,,,BT-505-Organization-TouchPoint
touchpoint-gateway-buyer,,,BT-509-Organization-TouchPoint
touchpoint-tel-fiscal-legis-lot,,,BT-503-Organization-TouchPoint
organisation-internet-address-serv-prov,,,BT-505-Organization-Company
future-notice,BT-127-notice,,BT-127-notice
total-value-cur,TV_CUR,,"BT-161-NoticeResult
BT-118-NoticeResult
BT-271-Procedure
BT-27-Procedure
BT-709-LotResult
BT-660-LotResult
BT-644-Lot"
organisation-gateway-employ-legis-part,,,BT-509-Organization-Company
touchpoint-street-fiscal-legis-lot,,,"BT-510(a)-Organization-TouchPoint, BT-510(b)-Organization-TouchPoint, BT-510(c)-Organization-TouchPoint"
change-description,BT-141(a)-notice,,BT-141(a)-notice
organisation-name-ted-esen,,,BT-500-Organization-Company
dispatch-invitation-tender-lot,BT-130-Lot,,BT-130-Lot
organisation-street-serv-prov,,,"BT-510(a)-Organization-Company, BT-510(b)-Organization-Company, BT-510(c)-Organization-Company"
place-of-performance-country-proc,BT-5141-Procedure,,BT-5141-Procedure
organisation-fax-revieworg-part,,,BT-739-Organization-Company
organisation-tel-tender-eval-part,,,BT-503-Organization-Company
organisation-gateway-docprovider-part,,,BT-509-Organization-Company
quality-target-description-lot,OPT-072-Lot,,OPT-072-Lot
organisation-tel-mediator-part,,,BT-503-Organization-Company
renewal-description-lot,BT-57-Lot,,BT-57-Lot
touchpoint-street-mediator-lot,,,"BT-510(a)-Organization-TouchPoint, BT-510(b)-Organization-TouchPoint, BT-510(c)-Organization-TouchPoint"
organisation-contact-point-reviewinfo-part,,,BT-502-Organization-Company
organisation-country-sub-mediator-lot,,,BT-507-Organization-Company
reward-other-lot,BT-45-Lot,,BT-45-Lot
organisation-name-tender-receip-part,,,BT-500-Organization-Company
organisation-person-environ-legis-lot,,,BT-633-Organization
organisation-street-paying,,,"BT-510(a)-Organization-Company, BT-510(b)-Organization-Company, BT-510(c)-Organization-Company"
business-fax,,,BT-739-Business
deadline-receipt-answers-time-lot,BT-800(t)-Lot,,BT-800(t)-Lot
touchpoint-gateway-paying,,,BT-509-Organization-TouchPoint
organisation-city-docprovider-part,,,BT-513-Organization-Company
touchpoint-fax-reviewinfo-lot,,,BT-739-Organization-TouchPoint
touchpoint-tel-ted-esen,,,BT-503-Organization-TouchPoint
business-post-code,,,BT-512-Business
organisation-country-serv-prov,,,BT-514-Organization-Company
organisation-contact-point-financing,,,BT-502-Organization-Company
publication-name,OPP-120-Business,,OPP-120-Business
description-glo,BT-24-LotsGroup,,BT-24-LotsGroup
organisation-city-reviewinfo-part,,,BT-513-Organization-Company
organisation-city-revieworg-part,,,BT-513-Organization-Company
organisation-email-addinfo-lot,,,BT-506-Organization-Company
contract-duration-end-date-lot,BT-537-Lot,,BT-537-Lot
result-value-cur-lot,,,BT-709-LotResult
contract-conditions-description-lot,OPP-031-Tender,,OPP-031-Tender
energy-consumption-res,BT-813-LotResult,,BT-813-LotResult
organisation-email-addinfo-part,,,BT-506-Organization-Company
buyer-touchpoint-contact-point,,,BT-502-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
touchpoint-internet-address-tender-receip-lot,,,BT-505-Organization-TouchPoint
touchpoint-name-financing,,,BT-500-Organization-TouchPoint
organisation-internet-address-docprovider-part,,,BT-505-Organization-Company
organisation-fax-fiscal-legis-lot,,,BT-739-Organization-Company
organisation-email-fiscal-legis-part,,,BT-506-Organization-Company
touchpoint-partname-subcontractor,,,BT-16-Organization-TouchPoint
touchpoint-street-employ-legis-part,,,"BT-510(a)-Organization-TouchPoint, BT-510(b)-Organization-TouchPoint, BT-510(c)-Organization-TouchPoint"
touchpoint-name-revieworg-lot,,,BT-500-Organization-TouchPoint
touchpoint-country-sub-addinfo-lot,,,BT-507-Organization-TouchPoint
organisation-person-paying,,,BT-633-Organization
modification-modified-contract-reference,BT-1501(c)-Contract,,BT-1501(c)-Contract
organisation-email-environ-legis-lot,,,BT-506-Organization-Company
touchpoint-name-reviewinfo-part,,,BT-500-Organization-TouchPoint
organisation-identifier-mediator-part,,,BT-501-Organization-Company
buyer-internet-address,IA,,BT-505-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
exclusion-grounds,BT-67(a)-Procedure,,BT-67(a)-Procedure
organisation-gateway-signatory,,,BT-509-Organization-Company
touchpoint-gateway-financing,,,BT-509-Organization-TouchPoint
buyer-touchpoint-partname,,,BT-16-Organization-TouchPoint[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
corporate-body,,,BT-501-Organization-Company[OPT-200-Organization-Company = OPT-300-Procedure-Buyer]
touchpoint-internet-address-revieworg-lot,,,BT-505-Organization-TouchPoint
eed-list-basis-lot,BT-811(a)-Lot,,BT-811(a)-Lot
touchpoint-post-code-serv-prov,,,BT-512-Organization-TouchPoint
touchpoint-internet-address-employ-legis-lot,,,BT-505-Organization-TouchPoint
place-of-performance-subdiv-lot,BT-5071-Lot,,BT-5071-Lot
organisation-person-addinfo-lot,,,BT-633-Organization
organisation-city-tenderer,,,BT-513-Organization-Company
guarantee-required-description-lot,BT-75-Lot,,BT-75-Lot
