"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","cvsStage"
"BR-BT-00001-0052","forbidden","BT-01(c)-Procedure","The BT-01 Procedure Legal Basis (ID) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00001-0053","forbidden","BT-01(c)-Procedure","The BT-01 Procedure Legal Basis (ID) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR","2"
"BR-BT-00001-0054","forbidden","BT-01(e)-Procedure","The BT-01 Procedure Legal Basis (No ID) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00001-0055","forbidden","BT-01(e)-Procedure","The BT-01 Procedure Legal Basis (No ID) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR","2"
"BR-BT-00001-0103","forbidden","BT-01(d)-Procedure","The BT-01 Procedure Legal Basis (ID Description) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00001-0104","forbidden","BT-01(d)-Procedure","The BT-01 Procedure Legal Basis (ID Description) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR","2"
"BR-BT-00001-0105","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID Description) is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR","2"
"BR-BT-00001-0106","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID Description) is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR","2"
"BR-BT-00001-0156","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type .","E1","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0157","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0158","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0159","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0160","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Prior information notice used only for information – general directive.","4","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
"BR-BT-00001-0161","forbidden","BT-01(f)-Procedure","The BT-01 Procedure Legal Basis (No ID) Description is forbidden at Notice level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","BT-01(e)-Procedure does not exist","NULL","all","ERROR","4"
